APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Prósperi;Gonzalo;San Lorenzo;DEF;4500000
Pucheta;Eduardo;Vélez;VOL;500000
Quilez;Ismael;Quilmes;DEF;2900000
Quintana;Carlos;Lanús;DEF;1900000
Quiroga;Facundo;All Boys;DEF;3900000
Quiroga;Juan L.;Belgrano;DEF;3000000
Quiroga;Raúl;San Martín SJ;VOL;1000000
Raldes;Ronald;Colón;DEF;3500000
Ramírez;David;Godoy Cruz;VOL;6700000
Ramírez;Juan E.;Argentinos;VOL;1600000
Ramírez;Julio G.;San Lorenzo;VOL;1400000
Ramírez;Rubén;Colón;DEL;8800000
Ramos;Joan Paul;Belgrano;DEF;1000000
Ravest;Leonel;Quilmes;DEF;400000
Razzotti;Franco;Vélez;VOL;4000000
Ré;Germán;Estudiantes;DEF;4000000
Regueiro;Mario;Lanús;VOL;8000000
Rescaldani;Ezequiel;Vélez;DEL;2600000
Rey;Rodrigo;Newell's;ARQ;500000
Reynoso;Salvador;San Lorenzo;VOL;2500000
Riaño;Claudio;San Martín SJ;DEL;2000000
Rigamonti;César;Belgrano;ARQ;800000
Rigoni;Emiliano;Belgrano;VOL;400000
Ríos;Andrés;River;DEL;1500000
Ríos;Leonel;Godoy Cruz;VOL;3000000
Rius;Ciro;Argentinos;DEL;2500000
Rivero;Diego;Boca;VOL;4600000
Rodríguez R.;Germán;Rafaela;VOL;600000
Rodríguez;Clemente;Boca;DEF;6000000
Rodríguez;Diego;Independiente;ARQ;1500000
Rodríguez;Juan P.;All Boys;VOL;4500000
Rodríguez;Lucas;Argentinos;DEF;800000
Rodríguez;Maximiliano;Argentinos;VOL;500000
Rodríguez;Maximiliano R.;Newell's;VOL;9000000
Rodríguez;Sergio;Belgrano;DEF;2600000
Rojas;Ariel;River;VOL;5000000
Rolle;Martín;San Lorenzo;VOL;5700000
Romagnoli;Leandro;San Lorenzo;VOL;6500000
Romero;Sebastián;Quilmes;VOL;3400000
Romero;Silvio;Lanús;DEL;4800000
Rosales;Paulo;Independiente;VOL;5000000
Rossi;Matías;Argentinos;ARQ;300000
Rudisi;Pablo;Belgrano;DEF;1100000
Rudler;Matías;San Martín SJ;VOL;2400000
Ruiz;Alan;Arsenal;VOL;2000000
Rulli;Gerónimo;Estudiantes;ARQ;300000
Ruppen;Efraín;Rafaela;ARQ;400000
Russo;Roberto;Independiente;DEF;3000000
Sabia;Juan;Argentinos;DEF;4100000
Sachetto;Nahuel;Arsenal;VOL;1000000
Sacks;Joel;Rafaela;DEF;800000
Saja;Sebastián;Racing;ARQ;6500000
Salas;Lucas;San Martín SJ;VOL;400000
San Román;José;Godoy Cruz;DEF;2700000
Sánchez Miño;Juan M.;Boca;VOL;3000000
Sánchez;Carlos;River;VOL;4900000
Sánchez;Fernando;All Boys;VOL;3500000
Sánchez;Matías;Estudiantes;VOL;2800000
Sánchez;Nicolás;Godoy Cruz;DEF;4800000
Sánchez;Sergio;Godoy Cruz;VOL;1500000
Sand;José;Racing;DEL;8200000
Santa;Daniel;Racing;VOL;2000000
Santana;Jonathan;Independiente;VOL;4700000
Santander;Federico;Tigre;DEL;2500000
Sara;Guillermo;Rafaela;ARQ;4500000
Sarmiento;Brian;Arsenal;VOL;2000000
Sarmiento;Marcelo;Unión;VOL;3000000
Sarulyte;Matías;Estudiantes;DEF;4000000
Saveljich;Esteban;Racing;DEF;1000000
Schiavi;Rolando;Boca;DEF;6300000
Schunke;Jonathan;Estudiantes;DEF;2300000
Scocco;Ignacio;Newell's;DEL;5000000
Semería Olmos;Juan Ignacio;All Boys;VOL;400000
Serrano;Jorge;Quilmes;DEF;3000000
Serrano;Walter;Rafaela;VOL;3600000
Sevillano;Diego;Godoy Cruz;DEL;600000
Sierra;Matías;Arsenal;VOL;600000
