Castillejos;Gonzalo;Rosario Ctral.;DEL;4000000;2;;;;;
Garcia;Javier;Tigre;ARQ;4000000;2;;;;;
Jara;Franco;Estudiantes;DEL;4000000;2;;;;;
Kalinski;Enzo;San Lorenzo;VOL;4000000;2;;;;;
Ledesma;Cristian;River;VOL;4000000;2;;;;;
Medina;Antonio;Rosario Ctral.;DEL;4000000;2;;;;;
Olmedo;Nicolas;Argentinos;VOL;4000000;2;;;;;
Peñalba;Gabriel;Tigre;VOL;4000000;2;;;;;
Re;German;Estudiantes;DEF;4000000;2;;;;;
Zelaya;Emilio;Arsenal;DEL;4000000;2;;;;;
Zuculini;Franco;Arsenal;VOL;4000000;2;;;;;
Alvarez;Cristian;San Lorenzo;ARQ;3900000;2;;;;;
Bueno;Carlos;Belgrano;DEL;3900000;2;;;;;
Coria;Facundo;Argentinos;DEL;3900000;2;;;;;
Dominguez;Nery;Rosario Ctral.;VOL;3900000;2;;;;;
Lertora;Federico;Godoy Cruz;VOL;3900000;2;;;;;
Lollo;Luciano;Belgrano;DEF;3900000;2;;;;;
Albertengo;Lucas;Rafaela;DEL;3800000;2;;;;;
Campora;Javier;All Boys;DEL;3800000;2;;;;;
Perez;Claudio;Boca;DEF;3800000;2;;;;;
Pouso;Omar;Gimnasia L.P.;VOL;3700000;2;;;;;
Cerro;Francisco;Racing;VOL;3600000;2;;;;;
Furch;Julio;Arsenal;DEL;3600000;2;;;;;
Grimi;Leandro;Godoy Cruz;DEF;3600000;2;;;;;
Canteros;Hector;Velez;VOL;3500000;2;;;;;
De Paul;Rodrigo;Racing;VOL;3500000;2;;;;;
Eluchans;Juan;Rafaela;VOL;3500000;2;;;;;
Erbes;Cristian;Boca;VOL;3500000;2;;;;;
Gabbarini;Adrian;Newell's;ARQ;3500000;2;;;;;
Garce;Ariel;Rafaela;DEF;3500000;2;;;;;
Gelabert;Marcos;Tigre;VOL;3500000;2;;;;;
Marcone;Ivan;Arsenal;VOL;3500000;2;;;;;
Romero;Sebastian;Quilmes;VOL;3500000;2;;;;;
Rulli;Geronimo;Estudiantes;ARQ;3500000;2;;;;;
Carrillo;Guido;Estudiantes;DEL;3400000;2;;;;;
Villalba;Hernan;Newell's;VOL;3400000;2;;;;;
Cabral;Alejandro;Velez;VOL;3300000;2;;;;;
Depetris;Rodrigo;Rafaela;VOL;3200000;2;;;;;
Gandin;Dario;Colon;DEL;3200000;2;;;;;
Gonzalez;Diego;Lanus;VOL;3200000;2;;;;;
Graciani;Gabriel;Colon;VOL;3100000;2;;;;;
Jara;Leonardo;Estudiantes;VOL;3100000;2;;;;;
Battion;Roberto;All Boys;VOL;3000000;2;;;;;
Caire;Maximiliano;Colon;DEF;3000000;2;;;;;
Silva;Alejandro;Lanus;VOL;3000000;2;;;;;
Cavallaro;Juan I.;San Lorenzo;VOL;2800000;2;;;;;
Allione;Agustin;Velez;VOL;2700000;2;;;;;
