APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Sierra; Matías;Arsenal;VOL;600000
Sigali; Leonardo;Godoy Cruz;DEF;4600000
Sills; Juan Ignacio;Vélez;DEF;500000
Silva; Agustín;Estudiantes;ARQ;300000
Silva; Santiago;Vélez;DEL;13000000
Silvera; Andrés;Belgrano;DEL;6700000
Solignac; Luis;Banfield;DEL;2000000
Somoza; Leandro;Boca;VOL;4800000
Sosa; Diego;San Martín SJ;DEF;1300000
Sosa; Franco;Boca;DEF;4100000
Sosa; Sebastián;Boca;ARQ;3500000
Soto Torres; Matías;Unión;VOL;900000
Soto; Carlos;All Boys;DEF;2800000
Soto; Santiago;Colón;VOL;1200000
Sperduti; Mauricio;Newell's;VOL;5800000
Stefanatto; Darío;All Boys;VOL;2300000
Suárez; Gastón;Belgrano;VOL;300000
Suárez; Pedro;Unión;DEF;1000000
Tagliafico; Nicolás;Banfield;DEF;1700000
Tejera; Juan;Olimpo;DEF;2500000
Tellechea; Emiliano;San Lorenzo;VOL;3200000
